,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Apr 29, 2020",790.17,803.20,783.16,800.51,800.51,15812100
1,"Apr 28, 2020",795.64,805.00,756.69,769.12,769.12,15222000
2,"Apr 27, 2020",737.61,799.49,735.00,798.75,798.75,20681400
3,"Apr 24, 2020",710.81,730.73,698.18,725.15,725.15,13237600
4,"Apr 23, 2020",727.60,734.00,703.13,705.63,705.63,13236700
5,"Apr 22, 2020",703.98,734.00,688.71,732.11,732.11,14224800
6,"Apr 21, 2020",730.12,753.33,673.79,686.72,686.72,20209100
7,"Apr 20, 2020",732.70,765.57,712.21,746.36,746.36,14746600
8,"Apr 17, 2020",772.28,774.95,747.66,753.89,753.89,13128200
9,"Apr 16, 2020",716.94,759.45,706.72,745.21,745.21,20657900
10,"Apr 15, 2020",742.00,753.13,710.00,729.83,729.83,23577000
11,"Apr 14, 2020",698.97,741.88,692.43,709.89,709.89,30576500
12,"Apr 13, 2020",590.16,652.00,580.53,650.95,650.95,22475400
13,"Apr 09, 2020",562.09,575.18,557.11,573.00,573.00,13650000
14,"Apr 08, 2020",554.20,557.21,533.33,548.84,548.84,12656000
15,"Apr 07, 2020",545.00,565.00,532.34,545.45,545.45,17919800
16,"Apr 06, 2020",511.20,521.00,497.96,516.24,516.24,14901800
17,"Apr 03, 2020",509.50,515.49,468.39,480.01,480.01,22562100
18,"Apr 02, 2020",481.03,494.26,446.40,454.47,454.47,19858400
19,"Apr 01, 2020",504.00,513.95,475.10,481.56,481.56,13353200
20,"Mar 31, 2020",501.25,542.96,497.00,524.00,524.00,17771500
21,"Mar 30, 2020",510.26,516.65,491.23,502.13,502.13,11998100
22,"Mar 27, 2020",505.00,525.80,494.03,514.36,514.36,14377400
23,"Mar 26, 2020",547.39,560.00,512.25,528.16,528.16,17380700
24,"Mar 25, 2020",545.25,557.00,511.11,539.25,539.25,21222700
25,"Mar 24, 2020",477.30,513.69,474.00,505.00,505.00,22895200
26,"Mar 23, 2020",433.60,442.00,410.50,434.29,434.29,16454500
27,"Mar 20, 2020",438.20,477.00,425.79,427.53,427.53,28285500
28,"Mar 19, 2020",374.70,452.00,358.46,427.64,427.64,30195500
29,"Mar 18, 2020",389.00,404.86,350.51,361.22,361.22,23786200
30,"Mar 17, 2020",440.01,471.85,396.00,430.20,430.20,23994600
31,"Mar 16, 2020",469.50,494.87,442.17,445.07,445.07,20489500
32,"Mar 13, 2020",595.00,607.57,502.00,546.62,546.62,22640300
33,"Mar 12, 2020",580.89,594.50,546.25,560.55,560.55,18909100
